on condition that	a condizione che
so that	affinchè
as soon as	appena che
although	benchè
as if	come se
after	dopo che
on condition that	nel caso che
despite	nonostante
so that	perchè
before	prima che
provided that	purchè
although	sebbene
without	senza che
whoever	chiunque
wherever	dovunque
any	qualsiasi
any	qualunque
whatever	qualunque cosa
It is good/bad that	È bene/male che
It is fair that	È giusto che
It is impossible that	È impossibile che
It is better that	È meglio che
It is necessary that	È necessario che
It is convenient that	È opportuno che
It is possible that	È possibile che
It is useful/useless that	È utile/inutile che
to need	avere bisogno
to be enough	bastare
to be necessary	bisognare
to be worth	convenire
to need	occorrere
to be worth	valere la pena
to wait	aspettare
to expect	aspettarsi
to wish	augurarsi
to be afraid	avere paura
to allow	consentire
to believe	credere
to wish	desiderare
to doubt	dubitare
to be happy	essere contento
to order	ordinare
to hope	sperare
to fear	temere
