la camera da letto,bedroom
il divano,sofa
fare il letto,to make the bed
i mobili,furniture
il soggiorno,living room
svegliarsi,to wake up
addormentarsi,to fall asleep
aver freddo,to feel warm
la cucina,kitchen
il giardino,garden
la sedia,chair
lo sgabuzzino,closet
aver caldo,to feel cold
il bagno,bathroom
il bucato,laundry
comodo,comfortable
il letto,bed
il tavolo,table
la cucina a gas,gas range
fare le pulizie,to clean the house
l’immondizia,garbage
la poltrona,armchair
portar fuori il cane,to walk the dog
scomodo,uncomfortable
aver fame,to be hungry
la colazione,breakfast
il frigorifero,refrigerator
mangiare,to eat
il panino,sandwich
lo zucchero,sugar
