at my house	a casa mia
anything else, other	altro
to be hungry	avere fame
coffee place, bar	bar
bartender	barista
coffee	caffè
house	casa
customer	cliente
to buy	comprare
croissant	cornetto
to take out	da portare via
espresso	espresso
to be there	esserci
party	festa
bun sandwich	panino
please	per favore
you’re welcome	prego
tonight	stasera
right away	subito
I would like	vorrei
1	uno
2	due
3	tre
4	quattro
5	cinque
6	sei
7	sette
8	otto
9	nove
10	dieci
then, thus	allora
beautiful	bello
commemorative	commemorativo
to cost	costare
euro	euro
stamp	francobollo
I’ll take . . . of them	ne prendo
no	no
each, every	ogni
how much	quanto
only	solo
11	undici
12	dodici
13	tredici
14	quattordici
15	quindici
16	sedici
17	diciassette
18	diciotto
19	diciannove
20	venti
21	ventuno
22	ventidue
23	ventitré
24	ventiquattro
25	venticinque
26	ventisei
27	ventisette
28	ventotto
29	ventinove
30	trenta
40	quaranta
50	cinquanta
60	sessanta
70	settanta
80	ottanta
90	novanta
100	 cento
200	 duecento
300	 trecento
1000	mille
2000	duemila
3000	tremila
1.000.000	un milione
2.000.000	due milioni
let’s go	andiamo
appointment, date	appuntamento
What time is it?	Che ore sono?
with	con
on the dot	in punto
half	mezzo
our	nostro
hour, time	ora
precise (precisely)	preciso
late	tardi
around, nearly	circa
to begin, to start	cominciare
tomorrow	domani
to finish	finire
tour	giro
guide	guida
today	oggi
when	quando
same	stesso
to return, to come back	tornare
too, too much	troppo
tourist (male or female)	turista
still, yet	ancora
year	anno
to be…old	avere… anni
little boy/girl, child	bambino/bambina
Happy birthday!	Buon compleanno!
birthday	compleanno
to make a mistake	sbagliare
if	se
to seem	sembrare
your (fam.)	tuo
January	gennaio
February	febbraio
March	marzo
April	aprile
May	maggio
June	giugno
July	luglio
August	agosto
September	settembre
October	ottobre
November	novembre
December 	dicembre
July 4	il quattro luglio
August 10	il dieci agosto
May 3	il tre maggio
December 25	il venticinque dicembre
March 8	l’otto marzo
July 1	il primo luglio
dear	caro (-a)
wife	moglie
to forget	dimenticare
to remember	ricordare
to be born	essere nato (-a)
always	sempre
but	ma
terrible	terribile
husband	marito
everything	tutto
Thank goodness!	Meno male!
Monday	lunedì
Tuesday	martedì
Wednesday	mercoledì
Thursday	giovedì
Friday	venerdì
Saturday	sabato
Sunday	domenica
