la bandiera,flag
governare,to govern
interno,domestic
il popolo,people
lo stato,state
lo straniero,foreigner
il cittadino,citizen
eleggere,to elect
gli immigranti,immigrants
il leader,leader
il primo ministro,prime minister
votare,to vote
il consenso,consensus
la maggioranza,majority
la minoranza,minority
l’opposizione,opposition
il parlamento,parliament
la repubblica,republic
la corruzione,corruption
la campagna elettorale,electoral campaign
partecipare a,to participate in
presentarsi candidato,to run
la tolleranza,tolerance
i valori,values
la classe media,middle class
la comunità,community
dimostrare,to demonstrate
la discriminazione,discrimination
il razzismo,racism
il sondaggio di opinione,opinion poll
