andare a piedi,to walk
l’autobus,bus
camminare,to walk
fare benzina,to get gas
guidare,to drive
la macchina,car
andare in bicicletta,to bike
il binario,track
in orario,on time
il parcheggio,parking
sempre dritto,straight ahead
la stazione,station
in ritardo,late / delayed
un posto vicino al finestrino,a seat by the window
prendere sotto,to run over
il traffico,traffic
il treno,train
uscita,exit
il biglietto di andata e ritorno,round-trip ticket
il meccanico,repair garage
noleggiare una macchina,to rent a car
